forumnaam,ID,firmwarerelease,gemiddeld verbruik (bin),batterijtype,batterijvermogen,datum invoer,firmwareversie,forumnaam (copy),leverdatum,nieuwe batterij,opmerkingen,rangemode aan/uit,aantal keer leeg,aantal keer SuC,aantal rangecharges,gemiddeld verbruik,kmstand,kmstand berekening,kmstand bij vervanging batterij,kmstand huidige batterij,kmstand huidige batterij,Number of Records,percentage,rated range,typical range
RealNuke,76,,270 Wh/km,,85 kWh,1/15/15,V6.1,realnuke,,nee,,uit,10,30,20,270 Wh/km,32080,32080,0,"32,080 km",32080,1,95.00%,,380 km
MisterGreen,101,,,,85 kWh,2/2/15,,mistergreen,,nee,,,,,,,50000,50000,0,"50,000 km",50000,1,96.50%,,386 km
Go4IT,7,1.65.15,220 Wh/km,B,85 kWh,9/19/14,V6.0,go4it,9/10/13,nee,drive unit replaced twice,,3,25,300,220 Wh/km,67000,67000,0,"67,000 km",67000,1,96.30%,482,385 km
Go4IT,53,1.65.15,210 Wh/km,B,85 kWh,11/10/14,V6.0,go4it,9/10/13,nee,drive unit replaced twice,,3,25,300,218 Wh/km,73000,73000,0,"73,000 km",73000,1,94.80%,475,379 km
Go4IT,60,1.65.15,220 Wh/km,B,85 kWh,11/25/14,V6.0,go4it,9/10/13,nee,drive unit replaced twice,,3,35,320,220 Wh/km,74500,74500,0,"74,500 km",74500,1,95.00%,476,380 km
Go4IT,80,1.65.15,220 Wh/km,B,85 kWh,1/16/15,V6.0,go4it,9/10/13,nee,drive unit replaced twice,aan,4,45,340,220 Wh/km,84000,84000,0,"84,000 km",84000,1,93.80%,469,375 km
Maarten ST,34,1.65.15,230 Wh/km,D,85 kWh,9/27/14,V6.0,maarten st,9/13/13,ja,,,1,12,6,233 Wh/km,28600,6000,22600,"6,000 km",6000,1,98.50%,490,394 km
Maarten ST,93,2.0.77,230 Wh/km,D,85 kWh,1/24/15,V6.0,maarten st,9/13/13,ja,21 inch P85+,,1,14,12,233 Wh/km,39600,17000,22600,"17,000 km",17000,1,96.30%,,385 km
JCK,24,1.65.15,200 Wh/km,,85 kWh,9/25/14,V6.0,jck,9/19/13,nee,drive unit replaced twice,,0,20,20,204 Wh/km,39200,39200,0,"39,200 km",39200,1,96.30%,,385 km
pjhartog,32,1.65.15,,,85 kWh,9/26/14,V6.0,pjhartog,9/19/13,nee,"Merijn: range 288 ingevuld, aangepast naar 388",,0,10,10,,26000,26000,0,"26,000 km",26000,1,97.00%,485,388 km
DLB,62,1.65.15,220 Wh/km,,85 kWh,11/27/14,V6.0,dlb,9/20/13,nee,"21""",uit,0,4,8,223 Wh/km,22507,22507,0,"22,507 km",22507,1,95.80%,479,383 km
Edi99,51,1.67.43,220 Wh/km,,85 kWh,11/7/14,V6.0,edi99,9/23/13,ja,drive unit replaced,,0,20,4,220 Wh/km,52000,34000,18000,"34,000 km",34000,1,95.30%,,381 km
kbekaert,30,1.65.15,210 Wh/km,,85 kWh,9/26/14,V6.0,kbekaert,9/25/13,nee,,,0,4,3,214 Wh/km,29481,29481,0,"29,481 km",29481,1,96.30%,481,385 km
x-ray,70,1.67.80,210 Wh/km,B,85 kWh,1/3/15,V6.0,x-ray,9/25/13,nee,"19""  2x drive unit vervangen. 6 maanden op 60% geladen, ervan uitgaande dat dat het beste voltage voor de batterij is. Mogelijk daardoor minder gebalanceerde batterij....?",uit,5,30,40,210 Wh/km,37000,37000,0,"37,000 km",37000,1,93.50%,,374 km
widodh,21,1.65.15,220 Wh/km,,85 kWh,9/24/14,V6.0,widodh,9/26/13,nee,,,0,30,15,221 Wh/km,49600,49600,0,"49,600 km",49600,1,96.50%,,386 km
widodh,52,1.67.43,220 Wh/km,,85 kWh,11/7/14,V6.0,widodh,9/27/13,nee,,,0,30,20,221 Wh/km,54000,54000,0,"54,000 km",54000,1,94.30%,,377 km
widodh,79,,220 Wh/km,B,85 kWh,1/15/15,V6.0,widodh,9/27/13,nee,,,2,50,30,227 Wh/km,59500,59500,0,"59,500 km",59500,1,93.50%,,374 km
widodh,95,2.0.81,220 Wh/km,B,85 kWh,1/25/15,V6.0,widodh,9/27/13,nee,,uit,2,60,35,224 Wh/km,63000,63000,0,"63,000 km",63000,1,93.50%,,374 km
e-Rik,54,,,,85 kWh,11/11/14,V5.11,e-rik,11/4/13,nee,,,0,15,5,,21000,21000,0,"21,000 km",21000,1,94.80%,,379 km
Patrick Claerhout,14,1.65.15,200 Wh/km,,85 kWh,9/22/14,V6.0,patrick claerhout,11/6/13,nee,,,,2,10,207 Wh/km,30650,30650,0,"30,650 km",30650,1,95.80%,479,383 km
AnalysiZ,13,1.65.15,200 Wh/km,,85 kWh,9/22/14,V6.0,analysiz,11/13/13,,,,,,,200 Wh/km,16045,16045,0,"16,045 km",16045,1,95.80%,479,383 km
CarlosW,23,1.65.15,230 Wh/km,,60 kWh,9/25/14,V6.0,carlosw,11/13/13,nee,"21"", bij aanschaf typ range 303",,,5,2,231 Wh/km,15300,15300,0,"15,300 km",15300,1,98.30%,365,285 km
PaulusdB,25,1.65.15,220 Wh/km,,85 kWh,9/25/14,V6.0,paulusdb,11/13/13,nee,"19"" winter - 20"" zomer",,4,12,10,225 Wh/km,21530,21530,0,"21,530 km",21530,1,97.00%,485,388 km
ebullio,33,1.65.15,230 Wh/km,D,85 kWh,9/27/14,V6.0,ebullio,11/14/13,ja,,,0,11,4,235 Wh/km,22526,13526,9000,"13,526 km",13526,1,97.80%,,391 km
luckyluke,38,1.65.15,250 Wh/km,,85 kWh,10/1/14,V6.0,luckyluke,11/14/13,nee,"hij ging pas naar 376 toen ik al 6,4km/1,5kWh verbruikt had",,1,15,20,255 Wh/km,36369,36369,0,"36,369 km",36369,1,94.30%,,377 km
ebullio,97,2.2.113,230 Wh/km,D,85 kWh,1/29/15,V6.1,ebullio,11/14/13,ja,"19""",uit,0,15,6,238 Wh/km,32302,20302,12000,"20,302 km",20302,1,97.00%,,388 km
redevries,37,1.65.15,210 Wh/km,D,85 kWh,9/30/14,V6.0,redevries,11/15/13,ja,"19""",,0,5,2,219 Wh/km,35244,7244,28000,"7,244 km",7244,1,97.80%,,391 km
redevries,77,1.65.15,220 Wh/km,D,85 kWh,1/15/15,V6.0,redevries,11/15/13,ja,"19""",aan,2,20,10,229 Wh/km,51700,23700,28000,"23,700 km",23700,1,97.30%,,389 km
Merijn,4,,220 Wh/km,,85 kWh,9/18/14,V5.13,merijn,11/18/13,nee,,,,,,224 Wh/km,35000,35000,0,"35,000 km",35000,1,95.30%,,381 km
Merijn,57,1.67.43,220 Wh/km,,85 kWh,11/16/14,V6.0,merijn,11/18/13,nee,"Pas na 1,7 kWh begon de typical range af te nemen. Paar dagen erna rangecharge 379 km en wel direct afname na 1 km...",aan,10,15,30,223 Wh/km,42000,42000,0,"42,000 km",42000,1,95.00%,,380 km
Merijn,67,1.67.43,220 Wh/km,,85 kWh,12/16/14,V6.0,merijn,11/18/13,nee,"Na 0,3 kWh was de typical al gezakt naar 374.",aan,10,20,30,225 Wh/km,45000,45000,0,"45,000 km",45000,1,94.50%,,378 km
bpsmits,1,1.65.15,210 Wh/km,,85 kWh,9/18/14,V6.0,bpsmits,11/19/13,nee,"19""",aan,2,25,40,212 Wh/km,33366,33366,0,"33,366 km",33366,1,98.30%,496,393 km
FVO,41,1.65.15,200 Wh/km,,85 kWh,10/5/14,V6.0,fvo,11/20/13,nee,Met leeg bedoel ik <10km rest (bij vorige Firmware-versie),,5,12,4,209 Wh/km,27000,27000,0,"27,000 km",27000,1,95.50%,,382 km
RCH1708,5,1.65.13,220 Wh/km,,85 kWh,9/18/14,V6.0,rch1708,11/21/13,nee,"19""",,1,15,30,229 Wh/km,27000,27000,0,"27,000 km",27000,1,95.30%,,381 km
QueenieEye,50,1.67.43,200 Wh/km,,85 kWh,11/1/14,V6.0,queenieeye,11/22/13,nee,,,0,5,8,202 Wh/km,39000,39000,0,"39,000 km",39000,1,94.30%,472,377 km
Xfrank,12,1.65.15,200 Wh/km,,60 kWh,9/21/14,V6.0,xfrank,11/23/13,nee,,,1,5,5,207 Wh/km,14995,14995,0,"14,995 km",14995,1,97.90%,362,284 km
